ocean_<1H OCEAN,ocean_INLAND,ocean_ISLAND,ocean_NEAR BAY,ocean_NEAR OCEAN,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
0,0,0,1,0,-122.29,37.81,20,835,161.0,290,133,2.483,137500
0,0,0,1,0,-122.28,37.81,17,1237,462.0,762,439,0.9241,177500
0,0,0,1,0,-122.28,37.81,36,2914,562.0,1236,509,2.4464,102100
0,0,0,1,0,-122.28,37.81,19,1207,243.0,721,207,1.1111,108300
0,0,0,1,0,-122.29,37.81,23,1745,374.0,1054,325,0.8026,112500
0,0,0,1,0,-122.28,37.8,38,684,176.0,344,155,2.0114,131300
0,0,0,1,0,-122.28,37.81,17,924,289.0,609,289,1.5,162500
0,0,0,1,0,-122.27,37.81,52,210,56.0,183,56,1.1667,112500
0,0,0,1,0,-122.28,37.81,52,340,97.0,200,87,1.5208,112500
0,0,0,1,0,-122.28,37.81,52,386,164.0,346,155,0.8075,137500
0,0,0,1,0,-122.28,37.81,35,948,184.0,467,169,1.8088,118800
0,0,0,1,0,-122.28,37.81,52,773,143.0,377,115,2.4083,98200
0,0,0,1,0,-122.27,37.81,40,880,451.0,582,380,0.977,118800
0,0,0,1,0,-122.27,37.81,10,875,348.0,546,330,0.76,162500
0,0,0,1,0,-122.27,37.8,10,105,42.0,125,39,0.9722,137500
0,0,0,1,0,-122.27,37.8,52,249,78.0,396,85,1.2434,500001
0,0,0,1,0,-122.27,37.8,16,994,392.0,800,362,2.0938,162500
0,0,0,1,0,-122.28,37.8,52,215,87.0,904,88,0.8668,137500
0,0,0,1,0,-122.28,37.8,52,96,31.0,191,34,0.75,162500
0,0,0,1,0,-122.27,37.79,27,1055,347.0,718,302,2.6354,187500
0,0,0,1,0,-122.27,37.8,39,1715,623.0,1327,467,1.8477,179200
0,0,0,1,0,-122.26,37.8,36,5329,2477.0,3469,2323,2.0096,130000
0,0,0,1,0,-122.26,37.82,31,4596,1331.0,2048,1180,2.8345,183800
0,0,0,1,0,-122.26,37.81,29,335,107.0,202,91,2.0062,125000
0,0,0,1,0,-122.26,37.82,22,3682,1270.0,2024,1250,1.2185,170000
0,0,0,1,0,-122.26,37.82,37,3633,1085.0,1838,980,2.6104,193100
0,0,0,1,0,-122.25,37.81,29,4656,1414.0,2304,1250,2.4912,257800
0,0,0,1,0,-122.25,37.81,28,5806,1603.0,2563,1497,3.2177,273400
0,0,0,1,0,-122.25,37.81,39,854,242.0,389,228,3.125,237500
0,0,0,1,0,-122.25,37.81,52,2155,701.0,895,613,2.5795,350000
0,0,0,1,0,-122.26,37.81,34,5871,1914.0,2689,1789,2.8406,335700
0,0,0,1,0,-122.24,37.82,52,1509,225.0,674,244,4.9306,313400
0,0,0,1,0,-122.24,37.81,52,2026,482.0,709,456,3.2727,268500
0,0,0,1,0,-122.25,37.81,52,1758,460.0,686,422,3.1691,259400
0,0,0,1,0,-122.24,37.82,52,3481,751.0,1444,718,3.9,275700
0,0,0,1,0,-122.25,37.82,28,3337,855.0,1520,802,3.9063,225000
0,0,0,1,0,-122.25,37.82,52,1424,289.0,550,253,5.0917,262500
0,0,0,1,0,-122.25,37.82,32,3809,1098.0,1806,1022,2.6429,218500
0,0,0,1,0,-122.25,37.82,26,3959,1196.0,1749,1217,3.0233,255000
0,0,0,1,0,-122.25,37.83,52,2376,559.0,939,519,3.1484,224100
0,0,0,1,0,-122.25,37.83,35,1613,428.0,675,422,3.4722,243100
0,0,0,1,0,-122.25,37.83,52,1279,287.0,534,291,3.1429,231600
0,0,0,1,0,-122.25,37.83,28,5022,1750.0,2558,1661,2.4234,218500
0,0,0,1,0,-122.25,37.83,52,4190,1105.0,1786,1037,3.0897,234100
0,0,0,1,0,-122.23,37.84,50,2515,399.0,970,373,5.8596,327600
0,0,0,1,0,-122.23,37.84,47,3175,454.0,1098,485,5.2868,347600
0,0,0,1,0,-122.24,37.83,41,2576,406.0,794,376,5.956,366100
0,0,0,1,0,-122.24,37.85,37,334,54.0,98,47,4.9643,335000
0,0,0,1,0,-122.23,37.85,52,2800,411.0,1061,403,6.3434,373600
0,0,0,1,0,-122.24,37.84,52,3529,574.0,1177,555,5.1773,389500
0,0,0,1,0,-122.24,37.85,52,2612,365.0,901,367,7.2354,391100
0,0,0,1,0,-122.22,37.85,28,5287,1048.0,2031,956,5.457,337300
0,0,0,1,0,-122.22,37.84,50,2935,473.0,1031,479,7.5,295200
0,0,0,1,0,-122.21,37.84,44,3424,597.0,1358,597,6.0194,292300
0,0,0,1,0,-122.21,37.83,40,4991,674.0,1616,654,7.5544,411500
0,0,0,1,0,-122.2,37.84,30,2211,346.0,844,343,6.0666,311500
0,0,0,1,0,-122.21,37.84,34,3038,490.0,1140,496,7.0548,325900
0,0,0,1,0,-122.19,37.84,18,1617,210.0,533,194,11.6017,392600
0,0,0,1,0,-122.2,37.84,35,2865,460.0,1072,443,7.4882,319300
0,0,0,1,0,-122.21,37.83,34,5065,788.0,1627,766,6.8976,333300
0,0,0,1,0,-122.19,37.83,28,1326,184.0,463,190,8.2049,335200
0,0,0,1,0,-122.2,37.83,26,1589,223.0,542,211,8.401,351200
0,0,0,1,0,-122.19,37.83,29,1791,271.0,661,269,6.8538,368900
0,0,0,1,0,-122.19,37.82,32,1835,264.0,635,263,8.317,365900
0,0,0,1,0,-122.2,37.82,37,1229,181.0,420,176,7.0175,366700
0,0,0,1,0,-122.2,37.82,39,3770,534.0,1265,500,6.3302,362800
0,0,0,1,0,-122.18,37.81,30,292,38.0,126,52,6.3624,483300
0,0,0,1,0,-122.21,37.82,52,2375,333.0,813,350,7.0549,331400
0,0,0,1,0,-122.2,37.81,45,2964,436.0,1067,426,6.7851,323500
0,0,0,1,0,-122.21,37.8,50,2833,605.0,1260,552,2.8929,216700
0,0,0,1,0,-122.21,37.8,38,2254,535.0,951,487,3.0812,233100
0,0,0,1,0,-122.21,37.81,52,1389,212.0,510,224,5.2402,296400
0,0,0,1,0,-122.22,37.81,52,1971,335.0,765,308,6.5217,273700
0,0,0,1,0,-122.22,37.8,52,2183,465.0,1129,460,3.2632,227700
0,0,0,1,0,-122.22,37.8,52,2286,464.0,1073,441,3.0298,199600
0,0,0,1,0,-122.22,37.8,52,2721,541.0,1185,515,4.5428,239800
0,0,0,1,0,-122.22,37.81,52,2024,339.0,756,340,4.072,270100
0,0,0,1,0,-122.22,37.81,52,2944,536.0,1034,521,5.3509,302100
0,0,0,1,0,-122.23,37.8,52,2033,486.0,787,459,3.1603,269500
0,0,0,1,0,-122.23,37.81,52,1433,229.0,612,213,4.7708,314700
0,0,0,1,0,-122.22,37.81,52,2927,402.0,1021,380,8.1564,390100
0,0,0,1,0,-122.23,37.81,52,2315,292.0,861,258,8.8793,410300
0,0,0,1,0,-122.24,37.81,52,2485,313.0,953,327,6.8591,352400
0,0,0,1,0,-122.24,37.81,52,1490,238.0,634,256,6.0302,287300
0,0,0,1,0,-122.23,37.81,52,2814,365.0,878,352,7.508,348700
0,0,0,1,0,-122.24,37.81,52,2093,550.0,918,483,2.7477,243800
0,0,0,1,0,-122.24,37.8,52,888,168.0,360,175,2.1944,211500
0,0,0,1,0,-122.25,37.8,52,2087,510.0,1197,488,3.0149,218400
0,0,0,1,0,-122.24,37.81,52,2513,502.0,1048,518,3.675,269900
0,0,0,1,0,-122.25,37.81,46,3232,835.0,1373,747,3.225,218800
0,0,0,1,0,-122.25,37.8,42,4120,1065.0,1715,1015,2.9345,225000
0,0,0,1,0,-122.25,37.8,43,2364,792.0,1359,722,2.1429,250000
0,0,0,1,0,-122.25,37.8,41,1471,469.0,1062,413,1.6121,171400
0,0,0,1,0,-122.25,37.8,29,2468,864.0,1335,773,1.3929,193800
0,0,0,1,0,-122.24,37.79,27,1632,492.0,1171,429,2.3173,125000
0,0,0,1,0,-122.25,37.79,45,1786,526.0,1475,460,1.7772,97500
0,0,0,1,0,-122.25,37.79,50,629,188.0,742,196,2.6458,125000
0,0,0,1,0,-122.25,37.79,52,1339,391.0,1086,363,2.181,138800
0,0,0,1,0,-122.25,37.8,36,1678,606.0,1645,543,2.2303,116700
0,0,0,1,0,-122.25,37.8,43,2344,647.0,1710,644,1.6504,151800
0,0,0,1,0,-122.24,37.8,52,996,228.0,731,228,2.2697,127000
0,0,0,1,0,-122.24,37.8,52,1591,373.0,1118,347,2.1563,128600
0,0,0,1,0,-122.24,37.8,52,1586,398.0,1006,335,2.1348,140600
0,0,0,1,0,-122.24,37.8,47,2046,588.0,1213,554,2.6292,182700
0,0,0,1,0,-122.23,37.8,52,1192,289.0,772,257,2.3833,146900
0,0,0,1,0,-122.24,37.8,52,1803,420.0,1321,401,2.957,122800
0,0,0,1,0,-122.24,37.8,49,2838,749.0,1487,677,2.5238,169300
0,0,0,1,0,-122.23,37.8,52,783,184.0,488,186,1.9375,126600
0,0,0,1,0,-122.23,37.8,51,1590,414.0,949,392,1.9028,127900
0,0,0,1,0,-122.23,37.8,50,1746,480.0,1149,415,2.25,123500
0,0,0,1,0,-122.23,37.8,52,1252,299.0,844,280,2.3929,111900
0,0,0,1,0,-122.23,37.79,43,5963,1344.0,4367,1231,2.1917,112800
0,0,0,1,0,-122.23,37.79,52,1783,395.0,1659,412,2.9357,107900
0,0,0,1,0,-122.23,37.79,30,999,264.0,1011,263,1.8854,137500
0,0,0,1,0,-122.24,37.79,39,1469,431.0,1464,389,2.1638,105500
0,0,0,1,0,-122.24,37.79,47,1372,395.0,1237,303,2.125,95500
0,0,0,1,0,-122.24,37.79,52,674,180.0,647,168,3.375,116100
0,0,0,1,0,-122.24,37.79,43,1626,376.0,1284,357,2.2542,112200
0,0,0,1,0,-122.25,37.79,51,175,43.0,228,55,2.1,75000
0,0,0,1,0,-122.25,37.79,39,461,129.0,381,123,1.6,112500
0,0,0,1,0,-122.25,37.79,52,902,237.0,846,227,3.625,125000
0,0,0,1,0,-122.26,37.8,20,2373,779.0,1659,676,1.6929,115000
0,0,0,1,0,-122.22,37.77,52,391,128.0,520,138,1.6471,95000
0,0,0,1,0,-122.22,37.77,52,1137,301.0,866,259,2.59,96400
0,0,0,1,0,-122.23,37.77,52,769,206.0,612,183,2.57,72000
0,0,0,1,0,-122.23,37.78,52,472,146.0,415,126,2.6429,71300
0,0,0,1,0,-122.23,37.78,52,862,215.0,994,213,3.0257,80800
0,0,0,1,0,-122.22,37.78,50,1920,530.0,1525,477,1.4886,128800
0,0,0,1,0,-122.23,37.78,43,1420,472.0,1506,438,1.9338,112500
0,0,0,1,0,-122.23,37.78,52,986,258.0,1008,255,1.4844,119400
0,0,0,1,0,-122.23,37.78,44,2340,825.0,2813,751,1.6009,118100
0,0,0,1,0,-122.23,37.79,48,1696,396.0,1481,343,2.0375,122500
0,0,0,1,0,-122.23,37.79,49,1175,217.0,859,219,2.293,106300
0,0,0,1,0,-122.22,37.79,37,2343,574.0,1608,523,2.1494,132500
0,0,0,1,0,-122.23,37.79,30,610,145.0,425,140,1.6198,122700
0,0,0,1,0,-122.23,37.79,40,930,199.0,564,184,1.3281,113300
0,0,0,1,0,-122.22,37.79,44,1487,314.0,961,272,3.5156,109500
0,0,0,1,0,-122.22,37.79,52,3424,690.0,2273,685,3.9048,164700
0,0,0,1,0,-122.21,37.79,52,762,190.0,600,195,3.0893,125000
0,0,0,1,0,-122.22,37.79,46,2366,575.0,1647,527,2.6042,124700
0,0,0,1,0,-122.22,37.79,49,1826,450.0,1201,424,2.5,136700
0,0,0,1,0,-122.22,37.79,38,3049,711.0,2167,659,2.7969,141700
0,0,0,1,0,-122.2,37.79,29,1640,376.0,939,340,2.8321,150000
0,0,0,1,0,-122.21,37.79,47,1543,307.0,859,292,2.9583,138800
0,0,0,1,0,-122.21,37.79,34,2364,557.0,1517,516,2.8365,139200
0,0,0,1,0,-122.21,37.79,35,1745,409.0,1143,386,2.875,143800
0,0,0,1,0,-122.21,37.8,39,2003,500.0,1109,464,3.0682,156500
0,0,0,1,0,-122.21,37.8,39,2018,447.0,1221,446,3.0757,151000
0,0,0,1,0,-122.2,37.8,43,3045,499.0,1115,455,4.9559,273000
0,0,0,1,0,-122.2,37.8,52,1547,293.0,706,268,4.7721,217100
0,0,0,1,0,-122.21,37.8,52,3519,711.0,1883,706,3.4861,187100
0,0,0,1,0,-122.2,37.8,41,2070,354.0,804,340,5.1184,239600
0,0,0,1,0,-122.21,37.8,48,1321,263.0,506,252,4.0977,229700
0,0,0,1,0,-122.19,37.8,48,1694,259.0,610,238,4.744,257300
0,0,0,1,0,-122.19,37.8,46,1938,341.0,768,332,4.2727,246900
0,0,0,1,0,-122.19,37.79,50,968,195.0,462,184,2.9844,179900
0,0,0,1,0,-122.2,37.79,40,1060,256.0,667,235,4.1739,169600
0,0,0,1,0,-122.2,37.8,46,2041,405.0,1059,399,3.8487,203300
0,0,0,1,0,-122.19,37.8,52,1813,271.0,637,277,4.0114,263400
0,0,0,1,0,-122.19,37.79,45,2718,451.0,1106,454,4.6563,231800
0,0,0,1,0,-122.19,37.79,28,3144,761.0,1737,669,2.9297,140500
0,0,0,1,0,-122.2,37.79,35,1802,459.0,1009,390,2.3036,126000
0,0,0,1,0,-122.2,37.79,49,882,195.0,737,210,2.6667,122000
0,0,0,1,0,-122.2,37.79,44,1621,452.0,1354,491,2.619,134700
0,0,0,1,0,-122.21,37.79,45,2115,533.0,1530,474,2.4167,139400
0,0,0,1,0,-122.2,37.79,45,2021,528.0,1410,480,2.7788,115400
0,0,0,1,0,-122.21,37.78,46,2239,508.0,1390,569,2.7352,137300
0,0,0,1,0,-122.21,37.78,52,1477,300.0,1065,269,1.8472,137000
0,0,0,1,0,-122.21,37.78,52,1056,224.0,792,245,2.6583,142600
0,0,0,1,0,-122.21,37.78,49,898,244.0,779,245,3.0536,137500
0,0,0,1,0,-122.22,37.78,44,2968,710.0,2269,610,2.3906,111700
0,0,0,1,0,-122.21,37.78,43,1702,460.0,1227,407,1.7188,126800
0,0,0,1,0,-122.21,37.78,47,881,248.0,753,241,2.625,111300
0,0,0,1,0,-122.22,37.77,40,494,114.0,547,135,2.8015,114800
0,0,0,1,0,-122.22,37.78,50,1776,473.0,1807,440,1.7276,102300
0,0,0,1,0,-122.22,37.78,44,1678,514.0,1700,495,2.0801,131900
0,0,0,1,0,-122.22,37.78,51,1637,463.0,1543,393,2.489,119100
0,0,0,1,0,-122.21,37.76,52,1420,314.0,1085,300,1.7546,80600
0,0,0,1,0,-122.21,37.77,52,591,173.0,353,137,4.0904,80600
0,0,0,1,0,-122.21,37.77,52,745,153.0,473,149,2.6765,88800
0,0,0,1,0,-122.2,37.77,49,2272,498.0,1621,483,2.4338,102400
0,0,0,1,0,-122.21,37.77,46,1234,375.0,1183,354,2.3309,98700
0,0,0,1,0,-122.21,37.77,43,1017,328.0,836,277,2.2604,100000
0,0,0,1,0,-122.19,37.77,42,932,254.0,900,263,1.8039,92300
0,0,0,1,0,-122.2,37.77,39,2689,597.0,1888,537,2.2562,94800
0,0,0,1,0,-122.2,37.77,41,1547,415.0,1024,341,2.0562,102000
0,0,0,1,0,-122.2,37.78,52,2300,443.0,1225,423,3.5398,158400
0,0,0,1,0,-122.2,37.78,39,1752,399.0,1071,376,3.1167,121600
0,0,0,1,0,-122.2,37.78,50,1867,403.0,1128,378,2.5401,129100
0,0,0,1,0,-122.2,37.77,43,2430,502.0,1537,484,2.898,121400
0,0,0,1,0,-122.21,37.78,44,1729,414.0,1240,393,2.3125,102800
0,0,0,1,0,-122.19,37.78,52,1026,180.0,469,168,2.875,160000
0,0,0,1,0,-122.19,37.77,52,2170,428.0,1086,425,3.3715,143900
0,0,0,1,0,-122.19,37.77,52,2329,445.0,1144,417,3.5114,151200
0,0,0,1,0,-122.19,37.78,52,2492,415.0,1109,375,4.3125,164400
0,0,0,1,0,-122.19,37.78,52,2198,397.0,984,369,3.22,156500
0,0,0,1,0,-122.18,37.78,33,142,31.0,575,47,3.875,225000
0,0,0,1,0,-122.19,37.78,49,1183,205.0,496,209,5.2328,174200
0,0,0,1,0,-122.19,37.78,52,1070,193.0,555,190,3.7262,166900
0,0,0,1,0,-122.2,37.78,45,1766,332.0,869,327,4.5893,163500
0,0,0,1,0,-122.18,37.79,39,617,95.0,236,106,5.2578,253000
0,0,0,1,0,-122.18,37.79,41,1411,233.0,626,214,7.0875,240700
0,0,0,1,0,-122.18,37.79,46,2109,387.0,922,329,3.9712,208100
0,0,0,1,0,-122.19,37.79,47,1229,243.0,582,256,2.9514,198100
0,0,0,1,0,-122.19,37.79,50,954,217.0,546,201,2.6667,172800
0,0,0,1,0,-122.18,37.81,37,1643,262.0,620,266,5.4446,336700
0,0,0,1,0,-122.18,37.8,34,1355,195.0,442,195,6.2838,318200
0,0,0,1,0,-122.18,37.8,23,2317,336.0,955,328,6.7527,285800
0,0,0,1,0,-122.13,37.77,24,2459,317.0,916,324,7.0712,293000
0,0,0,1,0,-122.16,37.79,22,12842,2048.0,4985,1967,5.9849,371000
0,0,0,1,0,-122.17,37.78,42,1524,260.0,651,267,3.6875,157300
0,0,0,1,0,-122.17,37.77,30,3326,746.0,1704,703,2.875,135300
0,0,0,1,0,-122.18,37.78,43,1985,440.0,1085,407,3.4205,136700
0,0,0,1,0,-122.18,37.78,50,1642,322.0,713,284,3.2984,160700
0,0,0,1,0,-122.17,37.78,49,893,177.0,468,181,3.875,140600
0,0,0,1,0,-122.17,37.78,52,653,128.0,296,121,4.175,144000
0,0,0,1,0,-122.16,37.77,48,977,194.0,446,180,4.7708,156300
0,0,0,1,0,-122.16,37.77,45,2324,397.0,968,384,3.5739,176000
0,0,0,1,0,-122.16,37.77,39,1583,349.0,857,316,3.0958,145800
0,0,0,1,0,-122.17,37.77,39,1612,342.0,912,322,3.3958,141900
0,0,0,1,0,-122.17,37.77,31,2424,533.0,1360,452,1.871,90700
0,0,0,1,0,-122.17,37.76,41,1594,367.0,1074,355,1.9356,90600
0,0,0,1,0,-122.17,37.76,47,2118,413.0,965,382,2.1842,107900
0,0,0,1,0,-122.18,37.76,37,1575,358.0,933,320,2.2917,107000
0,0,0,1,0,-122.17,37.76,38,1764,397.0,987,354,2.4333,98200
0,0,0,1,0,-122.18,37.76,50,1187,261.0,907,246,1.9479,89500
0,0,0,1,0,-122.18,37.76,52,754,175.0,447,165,3.9063,93800
0,0,0,1,0,-122.18,37.76,49,2308,452.0,1299,451,1.8407,96700
0,0,0,1,0,-122.18,37.77,27,909,236.0,396,157,2.0786,97500
0,0,0,1,0,-122.18,37.77,42,1180,257.0,877,268,2.8125,97300
0,0,0,1,0,-122.18,37.76,43,2018,408.0,1111,367,1.8913,91200
0,0,0,1,0,-122.19,37.76,49,1368,282.0,790,269,1.7056,91400
0,0,0,1,0,-122.18,37.77,52,2744,547.0,1479,554,2.2768,96200
0,0,0,1,0,-122.18,37.77,51,2107,471.0,1173,438,3.2552,120100
0,0,0,1,0,-122.18,37.77,52,1748,362.0,1029,366,2.0556,100000
0,0,0,1,0,-122.19,37.76,52,2024,391.0,1030,350,2.4659,94700
0,0,0,1,0,-122.2,37.76,47,1116,259.0,826,279,1.75,85700
0,0,0,1,0,-122.19,37.77,41,2036,510.0,1412,454,2.0469,89300
0,0,0,1,0,-122.19,37.77,45,1852,393.0,1132,349,2.7159,101400
0,0,0,1,0,-122.19,37.76,41,921,207.0,522,159,1.2083,72500
0,0,0,1,0,-122.19,37.76,45,995,238.0,630,237,1.925,74100
0,0,0,1,0,-122.2,37.75,36,606,132.0,531,133,1.5809,70000
0,0,0,1,0,-122.2,37.76,37,2680,736.0,1925,667,1.4097,84600
0,0,0,1,0,-122.19,37.76,38,1493,370.0,1144,351,0.7683,81800
0,0,0,1,0,-122.19,37.75,19,2207,565.0,1481,520,1.3194,81400
0,0,0,1,0,-122.19,37.75,28,856,189.0,435,162,0.8012,81800
0,0,0,1,0,-122.19,37.76,26,1293,297.0,984,303,1.9479,85800
0,0,0,1,0,-122.19,37.74,36,847,212.0,567,159,1.1765,87100
0,0,0,1,0,-122.18,37.74,42,541,154.0,380,123,2.3456,83500
0,0,0,1,0,-122.19,37.73,44,1066,253.0,825,244,2.1538,79700
0,0,0,1,0,-122.19,37.74,43,707,147.0,417,155,2.5139,83400
0,0,0,1,0,-122.19,37.73,45,1528,291.0,801,287,1.2625,84700
0,0,0,1,0,-122.18,37.73,42,909,215.0,646,198,2.9063,80000
0,0,0,1,0,-122.18,37.73,43,1391,293.0,855,285,2.5192,76400
0,0,0,1,0,-122.18,37.73,44,548,119.0,435,136,2.1111,79700
0,0,0,1,0,-122.18,37.73,42,4074,874.0,2736,780,2.455,82400
0,0,0,1,0,-122.17,37.74,41,1613,445.0,1481,414,2.4028,97700
0,0,0,1,0,-122.17,37.74,47,463,134.0,327,137,2.15,97200
0,0,0,1,0,-122.17,37.74,43,818,193.0,494,179,2.4776,101600
0,0,0,1,0,-122.17,37.73,43,1473,371.0,1231,341,2.1587,86500
0,0,0,1,0,-122.18,37.74,35,504,126.0,323,109,1.8438,90500
0,0,0,1,0,-122.17,37.74,46,1026,226.0,749,225,3.0298,107600
0,0,0,1,0,-122.17,37.74,46,769,183.0,693,178,2.25,84200
0,0,0,1,0,-122.18,37.74,46,2103,391.0,1339,354,2.2467,88900
0,0,0,1,0,-122.18,37.75,45,330,76.0,282,80,4.0469,80700
0,0,0,1,0,-122.18,37.75,46,941,218.0,621,195,1.325,87100
0,0,0,1,0,-122.18,37.75,45,990,261.0,901,260,2.1731,82000
0,0,0,1,0,-122.19,37.75,36,1126,263.0,482,150,1.9167,82800
0,0,0,1,0,-122.18,37.75,43,1036,233.0,652,213,2.069,84600
0,0,0,1,0,-122.18,37.75,36,1047,214.0,651,166,1.712,82100
